Type,ParentGroupedProductId - SKIP,Name,ShortDescription,FullDescription,Published,SKU,downloadable,TaxStatus,TaxClass,manage_stock,stock,DisplayStockAvailability - SKIP,DisplayStockQuantity - SKIP,MinStockQuantity - SKIP,Backorders allowed,Low stock amount,BackorderMode - SKIP,AllowBackInStockSubscriptions - SKIP,OrderMinimumQuantity,OrderMaximumQuantity,AllowedQuantities - SKIP,AllowAddingOnlyExistingAttributeCombinations - SKIP,NotReturnable - SKIP,regular_price,OldPrice - SKIP,Weight,Length,Width,Height,Categories
Simple Product,2050,"""If My People"" Note Card","""If My People"" Note Card","<p>White envelope included. Inside of card is blank.</p>
<p><strong>Descriptions of underlying pictures that compose the image on front cover. These are listed on the back of the card.</strong></p>
<ol>
<li>The tattered and worn flag symbolizes the apathy and <strong>NEGLECT </strong>for the principles on which this country was founded.
<p> </p>
</li>
<li>The bullet holes represent the spiritual and physical <strong>WARFARE </strong>that has and is taking place for our freedom.
<p> </p>
</li>
<li>This bullet hole, tinged with blood, symbolizes the <strong>SACRIFICE </strong>of the flag bearer. He willingly becomes vulnerable, laying down his own arms, in order that he may raise the flag and rally the troops.
<p> </p>
</li>
<li>The <strong>TRAGEDY</strong> of September 11, 2001 is remembered as you see the twin towers of the New York City Trade Center. The face formed by the rising smoke reminds us that we live in a world filled with violence and tragedy. <br /><br /></li>
<li>The presence of <strong>EVIL</strong> represented by the two demonic faces is a reminder of the ever-present spiritual battle being fought daily.
<p> </p>
</li>
<li>The <strong>HOPE</strong> of <strong>HEALING </strong>is depicted by the mending of the flag. “I know the plans I have for you,” declares the Lord, “plans to prosper you and not to harm you, plans to give you hope and a future.” Jeremiah 29:11
<p> </p>
</li>
<li><strong>LIFE </strong>is precious at any age. This unborn child reminds us to hold high the value of human life.
<p> </p>
</li>
<li>It is through the humble <strong>PRAYERS </strong>of God’s people, repenting and seeking Him that the promise of His hearing and forgiving and healing our land will come.
<p> </p>
</li>
<li><strong>JESUS </strong>is the One who is mending the flag. He is truly the Hope for our nation. Healing is available through trusting in His sacrificial death, burial and resurrection. The Crimson Thread of Christ Jesus the Savior is woven all through the Bible, from Genesis to Revelation.
<p> </p>
</li>
</ol>",0,NC01,no,taxable,media,yes,64,TRUE,FALSE,0,yes,50,Allow Qty Below0,FALSE,1,10000,,FALSE,FALSE,1,0,0.04,0,0,0,Browse All;
Simple Product,2050,"""If My People"" Note Card","""If My People"" Note Card","<p>White envelope included. Inside of card is blank.</p>
<p><strong>Descriptions of underlying pictures that compose the image on front cover. These are listed on the back of the card.</strong></p>
<ol>
<li>The tattered and worn flag symbolizes the apathy and <strong>NEGLECT</strong>for the principles on which this country was founded.
<p> </p>
</li>
<li>The bullet holes represent the spiritual and physical <strong>WARFARE</strong>that has and is taking place for our freedom.
<p> </p>
</li>
<li>This bullet hole, tinged with blood, symbolizes the <strong>SACRIFICE</strong>of the flag bearer. He willingly becomes vulnerable, laying down his own arms, in order that he may raise the flag and rally the troops.
<p> </p>
</li>
<li>The <strong>TRAGEDY</strong> of September 11, 2001 is remembered as you see the twin towers of the New York City Trade Center. The face formed by the rising smoke reminds us that we live in a world filled with violence and tragedy. <br /><br /></li>
<li>The presence of <strong>EVIL</strong>represented by the two demonic faces is a reminder of the ever-present spiritual battle being fought daily.
<p> </p>
</li>
<li>The <strong>HOPE</strong> of <strong>HEALING</strong>is depicted by the mending of the flag. “I know the plans I have for you,” declares the Lord, “plans to prosper you and not to harm you, plans to give you hope and a future.” Jeremiah 29:11
<p> </p>
</li>
<li><strong>LIFE</strong>is precious at any age. This unborn child reminds us to hold high the value of human life.
<p> </p>
</li>
<li>It is through the humble <strong>PRAYERS</strong>of God’s people, repenting and seeking Him that the promise of His hearing and forgiving and healing our land will come.
<p> </p>
</li>
<li><strong>JESUS</strong>is the One who is mending the flag. He is truly the Hope for our nation. Healing is available through trusting in His sacrificial death, burial and resurrection. The Crimson Thread of Christ Jesus the Savior is woven all through the Bible, from Genesis to Revelation.
<p> </p>
</li>
</ol>",1,,no,taxable,media,yes,0,TRUE,FALSE,0,no,100,Allow Qty Below0,FALSE,1,10000,,FALSE,FALSE,1,0,0.79,0,0,0,Browse All;
Simple Product,2050,"""If My People"" Note Card (Pack of 100)",,,1,NC01S100,no,taxable,media,yes,0,TRUE,FALSE,0,yes,100,Allow Qty Below0,FALSE,1,10000,,FALSE,FALSE,75,0,3.17,0,0,0,
Simple Product,0,"""If My People"" Note Card (Pack of 100)","""If My People"" Note Card - Pack of 100","<p>Inside of card is blank. Descriptions of underlying pictures that compose the image on front cover. These are listed on the back of the card. The tattered and worn flag symbolizes the apathy and NEGLECT for the principles on which this country was founded. The bullet holes represent the spiritual and physical WARFARE that has and is taking place for our freedom. This bullet hole, tinged with blood, symbolizes the SACRIFICE of the flag bearer. He willingly becomes vulnerable, laying down his own arms, in order that he may raise the flag and rally the troops. The TRAGEDY of September 11, 2001 is remembered as you see the twin towers of the New York City Trade Center. The face formed by the rising smoke reminds us that we live in a world filled with violence and tragedy. The presence of EVIL represented by the two demonic faces is a reminder of the ever-present spiritual battle being fought daily. The HOPE of HEALING is depicted by the mending of the flag.</p>",0,NC01S100,no,taxable,media,yes,0,TRUE,FALSE,0,yes,100,Allow Qty Below0,FALSE,1,10000,,FALSE,FALSE,75,0,3.17,0,0,0,
Simple Product,0,"""If My People"" Note Card (Pack of 12)","""If My People"" Note Card - Pack of 12","<p>Inside of card is blank. Descriptions of underlying pictures that compose the image on front cover. These are listed on the back of the card. The tattered and worn flag symbolizes the apathy and NEGLECT for the principles on which this country was founded. The bullet holes represent the spiritual and physical WARFARE that has and is taking place for our freedom. This bullet hole, tinged with blood, symbolizes the SACRIFICE of the flag bearer. He willingly becomes vulnerable, laying down his own arms, in order that he may raise the flag and rally the troops. The TRAGEDY of September 11, 2001 is remembered as you see the twin towers of the New York City Trade Center. The face formed by the rising smoke reminds us that we live in a world filled with violence and tragedy. The presence of EVIL represented by the two demonic faces is a reminder of the ever-present spiritual battle being fought daily. The HOPE of HEALING is depicted by the mending of the flag.</p>",0,NC01S12,no,taxable,media,yes,0,TRUE,FALSE,0,yes,100,Allow Qty Below0,FALSE,1,10000,,FALSE,FALSE,10,0,0.38,0,0,0,
Simple Product,2050,"""If My People"" Note Card (Pack of 12)",,,1,NC01S12,no,taxable,media,yes,0,TRUE,FALSE,0,yes,100,Allow Qty Below0,FALSE,1,10000,,FALSE,FALSE,10,0,0.38,0,0,0,
Simple Product,2050,"""If My People"" Note Card (Pack of 25)",,,1,NC01S25,no,taxable,media,yes,0,TRUE,FALSE,0,yes,100,Allow Qty Below0,FALSE,1,10000,,FALSE,FALSE,20,0,0.79,0,0,0,
Simple Product,0,"""If My People"" Note Card (Pack of 25)","""If My People"" Note Card - Pack of 25","<p>Inside of card is blank. Descriptions of underlying pictures that compose the image on front cover. These are listed on the back of the card. The tattered and worn flag symbolizes the apathy and NEGLECT for the principles on which this country was founded. The bullet holes represent the spiritual and physical WARFARE that has and is taking place for our freedom. This bullet hole, tinged with blood, symbolizes the SACRIFICE of the flag bearer. He willingly becomes vulnerable, laying down his own arms, in order that he may raise the flag and rally the troops. The TRAGEDY of September 11, 2001 is remembered as you see the twin towers of the New York City Trade Center. The face formed by the rising smoke reminds us that we live in a world filled with violence and tragedy. The presence of EVIL represented by the two demonic faces is a reminder of the ever-present spiritual battle being fought daily. The HOPE of HEALING is depicted by the mending of the flag.</p>",0,NC01S25,no,taxable,media,yes,0,TRUE,FALSE,0,yes,100,Allow Qty Below0,FALSE,1,10000,,FALSE,FALSE,20,0,0.79,0,0,0,
Simple Product,0,"""Spirit of America"" Note Card Collection",Note Card Set (3 each of 4 cards),"<p>Freedom Inside Quote: ""He is the best friend of American liberty who is most sincere and active in promoting true and undefiled religion. -- John Witherspoon"" Duty Inside Quote: ""All that the best men can do is to persevere in doing their duty to their country and leave the consequences to Him who made it their duty; being neither elated by success, however great, nor discouraged by disappointment, however frequent and mortifying. -- John Jay"" Integrity Inside Quote: ""To secure integrity, there must be a lofty sense of duty, and a deep responsibility to future times, as well as to God. -- Joseph Story"" Patriotism Inside Quote: ""Patriotism is both a moral and a religious duty. It comprehends not only the love of our neighbors but of millions of our fellow creatures, not only of the present but of future generations. -- Benjamin Rush""</p>",0,NCS12,no,taxable,media,yes,0,FALSE,FALSE,0,no,100,No Backorders,FALSE,1,10000,,FALSE,FALSE,7.95,0,0.43,0,0,0,
Simple Product,0,(BARGAIN BIN) Eighteen Sermons by the Late Rev. George Whitefield (NWB07Z),Reprint of a 1771 original,"<p><span style=""font-size: 11pt;""><em><strong>Eighteen Sermons by the Late Rev. George Whitefield</strong></em></span></p>
<p><span style=""font-size: 10pt;"">George Whitefield was one of America’s most remarkable preachers. He was a classmate of John and Charles Wesley at Oxford and a leading figure in America’s first Great Awakening, preaching over 18,000 sermons during his seven visits to America. Enjoy 18 of his well-known sermons and see some of the Biblical teachings that inspired the Founders of our nation. </span></p>
<p><span style=""color: #000000; font-size: x-small;""><br /><span style=""font-size: 9pt;"">472 pages</span><br /><span style=""color: #000000; font-size: x-small;""><span style=""font-size: 9pt;"">ISBN-13: 978-1-4290-1985-9</span><br /> </span><br /></span></p>",0,NWB07Z,no,taxable,media,yes,0,TRUE,FALSE,0,no,0,No Backorders,FALSE,1,10000,,FALSE,FALSE,28.99,0,1.47,1.125,6,9,Bargain Bin;
